date,log_return,overnight_return,momentum_5d,momentum_20d,volatility_20d,volume_change,volume_20d_avg,spy_return,soxx_return,ief_return,trends_zscore_30d,trends_momentum_7d,trends_spike,target_direction,target_next_return
2021-01-04,0.0030581063588208,0.0022970903522204,0.0013787875365384,-0.0010947964747987,0.0124039299639094,2.9734285799683176,159764.85,-0.0137851517941543,-0.0033291089719701,0.0005835521819551,0.6562987276427824,0.0238095238095237,0,1,0.0241339013364298
2021-01-05,0.0241339013364298,0.0,0.0079037640351819,-0.0005189075484356,0.0133084006255062,-0.5616209940900212,162083.15,0.006754774271467,0.0180964812522597,-0.002336254713019,0.922457873745736,0.0,0,0,-0.0622559815667075
2021-01-06,-0.0622559815667075,-0.0149031296572279,-0.0053211276337436,-0.0038157333343273,0.0191140714347884,1.7376811013939015,179794.0,0.0061208244785209,-0.0021856226013743,-0.005948658151749,1.4062658944621116,0.1276595744680853,0,1,0.0562768905106494
2021-01-07,0.0562768905106494,0.027755749405234,0.0028690563727408,-3.746721793904707e-05,0.0229734629000497,-0.3699672194168023,185921.15,0.0142434380777785,0.0382524696576336,-0.0034513271348254,1.7250884742108292,0.3181818181818183,0,0,-0.0037551677623237
2021-01-08,-0.0037551677623237,0.0014992503748125,0.0034915497753737,0.0012958042289803,0.0218643598964239,-0.2553082833427843,184338.85,0.0058928929869987,-0.0007523888700429,-0.0028711386046615,1.4477307763539624,1.291666666666667,0,1,0.0245274279962124
2021-01-11,0.0245274279962124,0.0097817908201655,0.007785414102852,0.0024064794722711,0.022474493410098,0.3184083146677829,191551.0,-0.0063415424277745,0.0107801612920967,-0.0019469257430196,2.191391922891943,0.558139534883721,1,0,-0.0103321952372051
2021-01-12,-0.0103321952372051,0.0095447870778267,0.000892194788125,0.0017360234351869,0.0226527427597965,-0.2346193987253058,194560.95,-0.0002111988180716,0.0071966775719105,-0.0002542265171948,2.1559325356791,0.4893617021276595,1,1,0.0037023366985355
2021-01-13,0.0037023366985355,0.0007418397626112,0.0140838584411736,0.0008572703477494,0.0221909716670178,-0.1038052663862987,196140.0,0.0027421115607927,0.0010344318936301,0.003384384311717,1.0692787508236683,0.0377358490566037,0,0,-0.0246926125903715
2021-01-14,-0.0246926125903715,0.0044345898004434,-0.0021100421790305,-0.0006024169258087,0.0228878849730612,0.3847619704161824,203316.05,-0.0033495567443397,0.0203946983388368,-0.0023678657997889,1.1448159828862037,-0.0172413793103448,0,0,-0.0253178079842898
2021-01-15,-0.0253178079842898,0.0015151515151516,-0.0064225702234237,-0.0014171764450413,0.0234856332417614,-0.2536563510096969,208738.3,-0.0077707887285085,-0.0204685508553947,0.0028745369810386,0.6498666644996873,-0.0909090909090908,0,1,0.0115876151723878
