observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,feature_set,model
567,0.5188422932756409,0.49382716049382713,0.495893185077105,0.5477941176470589,0.476038338658147,0.5094017094017094,0.25020973535584706,0.47971781305114636,0.001558983032801931,1.3213419129471593,-0.17350496881387167,0.6315360956154019,0.02407882461450776,0.3193612774451098,"[[131, 123], [164, 149]]",all_features,random_forest
567,0.5184020527785465,0.4708994708994709,0.48551608764559384,0.5320197044334976,0.3450479233226837,0.4186046511627907,0.25873476333073764,0.35802469135802467,0.000497661823723169,0.4160246541874837,-0.3106780526415056,0.9233661061087504,0.2666080383984901,0.7704590818363274,"[[159, 95], [205, 108]]",all_features,logistic_regression
567,0.5141128525068552,0.47971781305114636,0.49610072702573516,0.5463917525773195,0.33865814696485624,0.4181459566074951,,0.3421516754850088,0.0009666610283301469,0.9441333753996778,-0.24906123261193636,0.843250510522862,0.07881644173253666,0.4630738522954092,"[[166, 88], [207, 106]]",all_features,svm_linear
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",all_features,majority_class
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",alternative_only,majority_class
567,0.49244044174989304,0.5343915343915344,0.5137103469095117,0.5617128463476071,0.7124600638977636,0.6281690140845071,,0.7001763668430335,0.0020398736464890747,1.2349594634042638,-0.35884154049676953,0.05522063386586199,0.03235921752595659,0.35728542914171657,"[[80, 174], [90, 223]]",alternative_only,svm_linear
567,0.4757113028603054,0.48148148148148145,0.4676423234635607,0.5266106442577031,0.6006389776357828,0.5611940298507463,0.25519121831151037,0.6296296296296297,0.0011730200255721142,0.7412928801517489,-0.3671727996842076,0.8222289735170962,0.13352899635484014,0.7504990019960079,"[[85, 169], [125, 188]]",alternative_only,logistic_regression
567,0.47100701869135364,0.47971781305114636,0.4664159392216548,0.5254237288135594,0.5942492012779552,0.5577211394302849,0.2550856935622857,0.6243386243386243,0.0014380787748590937,1.061983375078168,-0.29302503857857054,0.843250510522862,0.056019870771909126,0.5948103792415169,"[[86, 168], [127, 186]]",alternative_only,random_forest
567,0.5196032804206183,0.5361552028218695,0.5242132273401927,0.5714285714285714,0.6389776357827476,0.6033182503770739,,0.6172839506172839,0.002887668647772656,2.039064905940687,-0.22384592638652123,0.046450235158164876,0.0011748122124795347,0.01996007984031936,"[[104, 150], [113, 200]]",attention_only,svm_linear
567,0.5,0.5520282186948854,0.5,0.5520282186948854,1.0,0.7113636363636363,0.4479717813051146,1.0,0.0025929719115751707,1.3395309847713235,-0.41130563243108775,0.007393722986112789,0.022584376680623488,1.0,"[[0, 254], [0, 313]]",attention_only,majority_class
567,0.4960818595758597,0.47971781305114636,0.480145153581042,0.5321428571428571,0.476038338658147,0.5025295109612141,0.2528882889642394,0.49382716049382713,0.000536856077945364,0.3568040973015066,-0.2788481007915621,0.843250510522862,0.2965219097370736,0.8882235528942116,"[[123, 131], [164, 149]]",attention_only,random_forest
567,0.4897927096173681,0.5044091710758377,0.4991698322054791,0.5512820512820513,0.549520766773163,0.5504,0.2539239722363363,0.5502645502645502,0.0015372343717578283,1.0259278372501994,-0.40852982839983754,0.4333073124610638,0.062360693837755235,0.4291417165668663,"[[114, 140], [141, 172]]",attention_only,logistic_regression
