Model,Role,OOS AUC,OOS accuracy,Balanced accuracy,Strategy Sharpe,Trade rate,Max drawdown
Majority class,Naïve benchmark,0.5,0.4867724867724867,0.5,,0.0,0.0
Logistic regression,Linear benchmark,0.4795682055879277,0.5061728395061729,0.5067607948603018,1.2526079972873976,0.4779541446208112,-0.4995615065805626
Linear SVM,Classical ML benchmark,0.4833532546441555,0.5079365079365079,0.5086657702076797,1.278912270535961,0.4726631393298059,-0.3557608112374659
Random Forest,Non-linear robustness check,0.476692066337965,0.4797178130511463,0.4816412669953683,0.2398018312283836,0.4268077601410934,-0.5250134773110355
LSTM (best specification),Main model,0.4760446237362419,0.49029982363315694,,0.6180542870138431,0.6455026455026455,-0.5723690722362202
