trial,val_auc,val_acc,threshold,youden_j,best_epoch,best_val_auc_in_training,best_val_loss_in_training,seconds,lookback,lstm_units,dropout,recurrent_dropout,lr,batch,dense_units,val_cm_tn_fp_fn_tp
1,0.516653953724892,0.5079365079365079,0.49999999999999994,0.01906941266209128,1,0.5153825879096985,0.6961984038352966,11.951153755187988,105,96,0.08,0.25,0.0003,64,64,"[[30, 27], [35, 34]]"
2,0.46732773963895247,0.48412698412698413,0.44999999999999996,0.03051106025934408,1,0.46732771396636963,0.7271643877029419,6.685057163238525,60,48,0.08,0.2,0.0002,64,32,"[[48, 9], [56, 13]]"
3,0.589626239511823,0.5634920634920635,0.44999999999999996,0.10526315789473717,6,0.592423141002655,0.6837028861045837,35.495627880096436,60,48,0.1,0.25,0.0002,16,16,"[[25, 32], [23, 46]]"
4,0.41698449021103484,0.5476190476190477,0.05,3.1086244689504383e-15,4,0.4251207411289215,0.7022963762283325,13.841919183731079,105,48,0.1,0.25,0.0002,64,32,"[[0, 57], [0, 69]]"
5,0.4406305619120265,0.5555555555555556,0.39999999999999997,0.017543859649125637,15,0.44355452060699463,0.7006548047065735,48.511274576187134,45,48,0.02,0.2,0.0001,16,64,"[[1, 56], [0, 69]]"
6,0.5237732011187389,0.5158730158730159,0.49999999999999994,0.08848207475209688,1,0.5242817401885986,0.6976193785667419,25.230597019195557,75,96,0.08,0.15,0.0003,16,32,"[[48, 9], [52, 17]]"
7,0.5794558860920418,0.5714285714285714,0.49999999999999994,0.15331807780320256,1,0.5732265710830688,0.6886610388755798,10.049904108047485,105,96,0.02,0.15,0.0002,64,64,"[[36, 21], [33, 36]]"
8,0.4520722095092804,0.5476190476190477,0.05,3.1086244689504383e-15,9,0.456775963306427,0.6935141086578369,70.1599953174591,105,16,0.02,0.25,0.0001,16,64,"[[0, 57], [0, 69]]"
9,0.5532672260361048,0.5714285714285714,0.35,0.052631578947370694,29,0.5545385479927063,0.7049485445022583,35.83418583869934,45,48,0.1,0.25,0.0003,32,16,"[[3, 54], [0, 69]]"
10,0.5275870836511569,0.5317460317460317,0.5499999999999999,0.022883295194509934,1,0.527714192867279,0.6889508366584778,5.569513320922852,45,96,0.1,0.25,0.0001,64,32,"[[17, 40], [19, 50]]"
11,0.5906432748538012,0.5714285714285714,0.35,0.14416475972539972,30,0.5921688079833984,0.7044541239738464,68.19285869598389,45,96,0.08,0.15,0.0003,16,64,"[[33, 24], [30, 39]]"
12,0.47266717518433765,0.4603174603174603,0.65,0.014492753623188196,1,0.47457408905029297,0.6928611993789673,10.04265022277832,105,96,0.05,0.25,0.0001,64,64,"[[57, 0], [68, 1]]"
13,0.5723366386981947,0.5238095238095238,0.5499999999999999,0.07856598016781063,1,0.569031298160553,0.6827229261398315,9.028832912445068,90,96,0.02,0.25,0.0002,64,32,"[[40, 17], [43, 26]]"
14,0.4594457157386219,0.46825396825396826,0.5499999999999999,0.025934401220442094,2,0.468471884727478,0.6994333863258362,8.658726215362549,75,96,0.08,0.2,0.0001,64,64,"[[56, 1], [66, 3]]"
15,0.4767353165522502,0.5476190476190477,0.35,0.00610221205187178,5,0.48436304926872253,0.7206465005874634,17.67410397529602,60,16,0.08,0.15,0.0001,32,16,"[[2, 55], [2, 67]]"
16,0.5217391304347826,0.4603174603174603,0.65,0.014492753623188196,6,0.5260615348815918,0.6899436712265015,16.12830924987793,105,48,0.05,0.2,0.0002,64,16,"[[57, 0], [68, 1]]"
17,0.5423340961098398,0.5793650793650794,0.35,0.10373760488177042,28,0.5451309680938721,0.7127785086631775,35.883774518966675,45,64,0.05,0.15,0.0003,32,32,"[[15, 42], [11, 58]]"
18,0.49529621154335113,0.5238095238095238,0.49999999999999994,0.04805491990846761,1,0.4921179711818695,0.6975171566009521,7.688845634460449,75,64,0.05,0.2,0.0003,64,16,"[[30, 27], [33, 36]]"
19,0.5553012967200611,0.5396825396825397,0.49999999999999994,0.022120518688026558,1,0.5539029240608215,0.6885070204734802,17.86579442024231,105,48,0.05,0.15,0.0001,32,64,"[[12, 45], [13, 56]]"
20,0.4823290109331299,0.49206349206349204,0.6,0.054157131960335184,1,0.48258325457572937,0.6937130093574524,9.441878080368042,90,96,0.08,0.15,0.0001,64,32,"[[51, 6], [58, 11]]"
21,0.4716501398423596,0.5317460317460317,0.39999999999999997,0.016781083142641262,17,0.47114163637161255,0.7051498889923096,80.49489045143127,75,64,0.05,0.25,0.0002,16,64,"[[15, 42], [17, 52]]"
22,0.4874141876430206,0.4603174603174603,0.65,0.008390541571319597,1,0.4750826358795166,0.6952389478683472,8.835463523864746,90,96,0.08,0.15,0.0001,64,64,"[[55, 2], [66, 3]]"
23,0.47139588100686497,0.5476190476190477,0.05,3.1086244689504383e-15,1,0.4748283624649048,0.72013258934021,17.702425241470337,105,32,0.1,0.2,0.0003,32,64,"[[0, 57], [0, 69]]"
24,0.528604118993135,0.5714285714285714,0.35,0.07093821510297649,29,0.529748260974884,0.7314926385879517,63.74752473831177,90,48,0.08,0.2,0.0003,32,16,"[[9, 48], [6, 63]]"
25,0.48919399949148235,0.46825396825396826,0.44999999999999996,0.02288329519450779,13,0.4907195270061493,0.7281090617179871,41.28755497932434,90,32,0.08,0.25,0.0001,32,64,"[[55, 2], [65, 4]]"
