Model,Role,OOS AUC,OOS accuracy,Balanced accuracy,Strategy Sharpe,Trade rate,Max drawdown
Majority class,Naïve benchmark,0.5,0.5520282186948854,0.5,1.3395309847713237,1.0,-0.4113056324310877
Logistic regression,Linear benchmark,0.5184020527785465,0.4708994708994709,0.4855160876455938,0.4160246541874837,0.3580246913580246,-0.3106780526415056
Linear SVM,Classical ML benchmark,0.5141128525068552,0.4797178130511463,0.4961007270257351,0.9441333753996778,0.3421516754850088,-0.2490612326119363
Random Forest,Non-linear robustness check,0.5188422932756409,0.4938271604938271,0.495893185077105,1.3213419129471593,0.4797178130511463,-0.1735049688138716
LSTM (best specification),Main model,0.5590676964101533,0.5097001763668431,,1.337308872835825,0.4038800705467372,-0.218143833056886
