observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,fold,feature_set,model,feature_count,val_auc,val_accuracy,threshold,youden_j
63,0.5,0.42857142857142855,0.5,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,,0.0,0.8963160500715729,,,"[[27, 0], [36, 0]]",1,all_features,majority_class,16,0.5,0.4365079365079365,,
63,0.4032921810699589,0.42857142857142855,0.46296296296296297,0.5,0.2222222222222222,0.3076923076923077,0.2841230464452405,0.25396825396825395,0.0017477542329058968,2.120182040199447,-0.031064581544798964,0.8963160500715729,0.1485223006937379,,"[[19, 8], [28, 8]]",1,all_features,logistic_regression,16,0.5487836107554418,0.5476190476190477,0.5625237454347185,0.1480153649167722
63,0.35082304526748975,0.3968253968253968,0.4444444444444444,0.4,0.1111111111111111,0.17391304347826086,0.26453220599538263,0.15873015873015872,0.0008995046730136157,1.08811664001353,-0.05909181276728448,0.9615370831951954,0.29566062817357264,,"[[21, 6], [32, 4]]",1,all_features,random_forest,16,0.4640204865556978,0.47619047619047616,0.5743347712953357,0.06632522407170209
63,0.39711934156378603,0.4126984126984127,0.45370370370370366,0.46153846153846156,0.16666666666666666,0.24489795918367346,,0.20634920634920634,0.0013375159846858507,1.6989729501555668,-0.033780519611459336,0.9350410384887238,0.20131286192836495,,"[[20, 7], [30, 6]]",1,all_features,svm_linear,16,0.5272727272727273,0.5317460317460317,0.6106582679421395,0.12804097311139462
63,0.5,0.5555555555555556,0.5,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,,0.0,0.22498126814511127,,,"[[35, 0], [28, 0]]",2,all_features,majority_class,16,0.5,0.4523809523809524,,
63,0.5387755102040817,0.5555555555555556,0.5321428571428571,0.5,0.32142857142857145,0.391304347826087,0.2681340855764464,0.2857142857142857,0.0025036867571737063,1.7000947480225774,-0.14153500308030253,0.22498126814511127,0.20115845808381516,,"[[26, 9], [19, 9]]",2,all_features,logistic_regression,16,0.43529112636664125,0.49206349206349204,0.6124506602027542,0.06025934401220377
63,0.5122448979591837,0.47619047619047616,0.4928571428571429,0.43902439024390244,0.6428571428571429,0.5217391304347826,0.2538596524157224,0.6507936507936508,-0.0012331961402584526,-0.7048505956303475,-0.24258915107269752,0.6926724921172691,0.6360945635098654,,"[[12, 23], [10, 18]]",2,all_features,random_forest,16,0.40986524281718795,0.5,0.5285567211273277,-0.019832189168571435
63,0.5489795918367347,0.5555555555555556,0.5178571428571428,0.5,0.17857142857142858,0.2631578947368421,,0.15873015873015872,0.0007431387166072129,0.6724677339414978,-0.10515145012807114,0.22498126814511127,0.3699205550807292,,"[[30, 5], [23, 5]]",2,all_features,svm_linear,16,0.43249427917620137,0.47619047619047616,0.9133666741817387,0.02822273073989308
63,0.5,0.5238095238095238,0.5,0.0,0.0,0.0,0.47619047619047616,0.0,0.0,,0.0,0.40065324625203314,,,"[[33, 0], [30, 0]]",3,all_features,majority_class,16,0.5,0.49206349206349204,,
63,0.49292929292929294,0.5079365079365079,0.49848484848484853,0.47368421052631576,0.3,0.3673469387755102,0.26703256234925216,0.30158730158730157,-0.00021465324961079504,-0.26374855661778607,-0.07588570918174664,0.5,0.5518307380245495,,"[[23, 10], [21, 9]]",3,all_features,logistic_regression,16,0.465725806451613,0.5158730158730159,0.6044697129629125,0.04284274193548329
