observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,feature_set,model
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",all_features,majority_class
567,0.48335325464415557,0.5079365079365079,0.5086657702076797,0.5223880597014925,0.48109965635738833,0.5008944543828264,,0.47266313932980597,0.0016982864863126666,1.278912270535961,-0.35576081123746595,0.3684639043845981,0.027891171097276554,0.0718562874251497,"[[148, 128], [151, 140]]",all_features,svm_linear
567,0.4795682055879277,0.5061728395061729,0.5067607948603018,0.5202952029520295,0.4845360824742268,0.501779359430605,0.2612768746195537,0.47795414462081126,0.0018573708826697354,1.2526079972873976,-0.49956150658056264,0.40054312563369476,0.030498663689846033,0.06187624750499002,"[[146, 130], [150, 141]]",all_features,logistic_regression
567,0.476692066337965,0.47971781305114636,0.4816412669953683,0.49173553719008267,0.40893470790378006,0.44652908067542213,0.254290071262937,0.42680776014109345,0.0003446526058152725,0.23980183122838364,-0.5250134773110355,0.843250510522862,0.3597204130951491,0.6506986027944112,"[[153, 123], [172, 119]]",all_features,random_forest
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",alternative_only,majority_class
567,0.4881343692414961,0.5044091710758377,0.5045756760794861,0.5178571428571429,0.49828178694158076,0.5078809106830122,,0.49382716049382713,0.001124975995680949,0.7198847042752181,-0.4525365795654719,0.4333073124610638,0.14055163422099934,0.2874251497005988,"[[141, 135], [146, 145]]",alternative_only,svm_linear
567,0.4759325663628667,0.49559082892416223,0.49374346331988644,0.5077399380804953,0.563573883161512,0.5342019543973942,0.2545008486336701,0.5696649029982364,-0.00030840192881170683,-0.18979942498315336,-0.5420702952591631,0.5994568743663052,0.6119144307376732,0.9461077844311377,"[[117, 159], [127, 164]]",alternative_only,random_forest
567,0.46781463220279895,0.5202821869488536,0.5232145525175557,0.5429864253393665,0.41237113402061853,0.46875,0.25744730213320244,0.3897707231040564,0.0015526218145580052,1.0599647179980036,-0.397329765240913,0.17777102648290377,0.05636085507493095,0.08383233532934131,"[[175, 101], [171, 120]]",alternative_only,logistic_regression
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",attention_only,majority_class
567,0.4893171970715673,0.49382716049382713,0.49277229941730166,0.5065359477124183,0.5326460481099656,0.5192629815745393,,0.5396825396825397,0.0001884204467409186,0.12728149098262342,-0.5193908582197886,0.6315360956154019,0.424393443151462,0.8063872255489022,"[[125, 151], [136, 155]]",attention_only,svm_linear
567,0.48032148015339404,0.4973544973544973,0.501344688480502,0.5151515151515151,0.35051546391752575,0.4171779141104294,0.25541545614121464,0.3492063492063492,0.0009683712674035002,0.7740578264546328,-0.35009182632402447,0.5666926875389362,0.12325624888377651,0.2155688622754491,"[[180, 96], [189, 102]]",attention_only,random_forest
567,0.4750112057373375,0.49029982363315694,0.49045644703421487,0.5035714285714286,0.4845360824742268,0.4938704028021016,0.2564327411190016,0.49382716049382713,0.0008698728148687009,0.5676491744147732,-0.5463693164120969,0.6928331850456233,0.19764161344349918,0.40718562874251496,"[[137, 139], [150, 141]]",attention_only,logistic_regression
567,0.5019174261666418,0.49382716049382713,0.4983751680860601,0.510752688172043,0.32646048109965636,0.39832285115303984,,0.328042328042328,8.653969272179938e-05,0.0744206762927333,-0.32330025520080075,0.6315360956154019,0.45561680525048703,0.7065868263473054,"[[185, 91], [196, 95]]",market_macro,svm_linear
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",market_macro,majority_class
567,0.4985059016883311,0.5026455026455027,0.5048184670551322,0.5189873417721519,0.422680412371134,0.4659090909090909,0.25354863554189877,0.41798941798941797,0.001300428860007429,0.8682089088031283,-0.2968373436297119,0.46653623952711815,0.09686579752727292,0.15169660678642716,"[[162, 114], [168, 123]]",market_macro,random_forest
567,0.4962647542208278,0.5097001763668431,0.5119714627222471,0.5276595744680851,0.4261168384879725,0.4714828897338403,0.25437808053502164,0.4144620811287478,0.0010137174818125524,0.828890594706653,-0.2971812959984995,0.33727577261464414,0.10733142400828245,0.2754491017964072,"[[165, 111], [167, 124]]",market_macro,logistic_regression
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",market_only,majority_class
567,0.49589122964291055,0.5008818342151675,0.5030068728522337,0.5168067226890757,0.422680412371134,0.46502835538752363,0.25423577471695963,0.41975308641975306,0.0013850610785378443,1.1642596227911752,-0.2505171632618124,0.49999999999999906,0.04077697289136348,0.12375249500998003,"[[161, 115], [168, 123]]",market_only,random_forest
567,0.472658000896459,0.4656084656084656,0.4698565665620798,0.46875,0.30927835051546393,0.37267080745341613,,0.3386243386243386,-0.0011598436559364905,-0.9910615646312847,-0.6238571553366865,0.9535497648418352,0.9309869119744624,0.9900199600798403,"[[174, 102], [201, 90]]",market_only,svm_linear
567,0.46156432093231736,0.4638447971781305,0.4642163454355297,0.4763636363636364,0.45017182130584193,0.4628975265017668,0.25598330262069213,0.48500881834215165,-0.0003451855977838624,-0.24202388975144595,-0.6832223490614546,0.9611661637195723,0.6415236087178399,0.9341317365269461,"[[132, 144], [160, 131]]",market_only,logistic_regression
567,0.5019174261666418,0.49382716049382713,0.4983751680860601,0.510752688172043,0.32646048109965636,0.39832285115303984,,0.328042328042328,8.653969272179938e-05,0.0744206762927333,-0.32330025520080075,0.6315360956154019,0.45561680525048703,0.7065868263473054,"[[185, 91], [196, 95]]",no_alternative_data,svm_linear
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",no_alternative_data,majority_class
567,0.4985059016883311,0.5026455026455027,0.5048184670551322,0.5189873417721519,0.422680412371134,0.4659090909090909,0.25354863554189877,0.41798941798941797,0.001300428860007429,0.8682089088031283,-0.2968373436297119,0.46653623952711815,0.09686579752727292,0.15169660678642716,"[[162, 114], [168, 123]]",no_alternative_data,random_forest
567,0.4962647542208278,0.5097001763668431,0.5119714627222471,0.5276595744680851,0.4261168384879725,0.4714828897338403,0.25437808053502164,0.4144620811287478,0.0010137174818125524,0.828890594706653,-0.2971812959984995,0.33727577261464414,0.10733142400828245,0.2754491017964072,"[[165, 111], [167, 124]]",no_alternative_data,logistic_regression
567,0.5,0.48677248677248675,0.5,0.0,0.0,0.0,0.5132275132275133,0.0,0.0,,0.0,0.7491707232656355,,1.0,"[[276, 0], [291, 0]]",sentiment_only,majority_class
567,0.49455276657204045,0.5026455026455027,0.5007096966980427,0.5138461538461538,0.5738831615120275,0.5422077922077922,,0.5731922398589065,0.0018867621569849575,1.2014664517324352,-0.5893118662388968,0.46653623952711815,0.03614832850068664,0.05389221556886228,"[[118, 158], [124, 167]]",sentiment_only,svm_linear
567,0.4887880372528512,0.47266313932980597,0.4755154639175258,0.481981981981982,0.36769759450171824,0.4171539961013645,0.25252707138659336,0.3915343915343915,0.00034727766627797865,0.24834160555095985,-0.48095226038920247,0.9105310836709458,0.35494766875697753,0.626746506986028,"[[161, 115], [184, 107]]",sentiment_only,random_forest
567,0.4790514965884755,0.48853615520282184,0.4831353653070372,0.5012531328320802,0.6872852233676976,0.5797101449275363,0.25092427603848266,0.7037037037037037,0.0011332900654130538,0.6086197332729855,-0.7053056011273138,0.7216962548027073,0.1810458352991406,0.4031936127744511,"[[77, 199], [91, 200]]",sentiment_only,logistic_regression
